,output product,import requirements,value
10133,Sewerage services; sewage sludge,Residential Care  & Social Work Activities,0
10134,"Waste collection, treatment and disposal services; materials recovery services",Residential Care  & Social Work Activities,0
10135,Remediation services and other waste management services,Residential Care  & Social Work Activities,0
10136,Construction,Residential Care  & Social Work Activities,0
10137,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Residential Care  & Social Work Activities,0
10138,"Wholesale trade services, except of motor vehicles and motorcycles",Residential Care  & Social Work Activities,0
10139,"Retail trade services, except of motor vehicles and motorcycles",Residential Care  & Social Work Activities,0
10140,Rail transport services,Residential Care  & Social Work Activities,0
10141,"Land transport services and transport services via pipelines, excluding rail transport",Residential Care  & Social Work Activities,0
10142,Water transport services,Residential Care  & Social Work Activities,0
10143,Air transport services,Residential Care  & Social Work Activities,0
10144,Warehousing and support services for transportation,Residential Care  & Social Work Activities,0
10145,Postal and courier services,Residential Care  & Social Work Activities,0
10146,Accommodation services,Residential Care  & Social Work Activities,0
10147,Food and beverage serving services,Residential Care  & Social Work Activities,0
10148,Publishing services,Residential Care  & Social Work Activities,0
10149,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Residential Care  & Social Work Activities,1
10150,Telecommunications services,Residential Care  & Social Work Activities,0
10151,"Computer programming, consultancy and related services",Residential Care  & Social Work Activities,0
10152,Information services,Residential Care  & Social Work Activities,0
10153,"Financial services, except insurance and pension funding",Residential Care  & Social Work Activities,0
10154,"Insurance, reinsurance and pension funding services, except compulsory social security",Residential Care  & Social Work Activities,0
10155,Services auxiliary to financial services and insurance services,Residential Care  & Social Work Activities,0
10156,Real estate services on a fee or contract basis,Residential Care  & Social Work Activities,0
10157,Owner-Occupiers' Housing Services,Residential Care  & Social Work Activities,0
10158,"Real estate services, excluding on a fee or contract basis and imputed rent",Residential Care  & Social Work Activities,0
10159,Legal services,Residential Care  & Social Work Activities,0
10160,"Accounting, bookkeeping and auditing services; tax consulting services",Residential Care  & Social Work Activities,1
10161,Services of head offices; management consulting services,Residential Care  & Social Work Activities,24
10162,Architectural and engineering services; technical testing and analysis services,Residential Care  & Social Work Activities,1
10163,Scientific research and development services,Residential Care  & Social Work Activities,0
10164,Advertising and market research services,Residential Care  & Social Work Activities,0
10165,"Other professional, scientific and technical services",Residential Care  & Social Work Activities,0
10166,Veterinary services,Residential Care  & Social Work Activities,0
10167,Rental and leasing services,Residential Care  & Social Work Activities,1
10168,Employment services,Residential Care  & Social Work Activities,0
10169,"Travel agency, tour operator and other reservation services and related services",Residential Care  & Social Work Activities,0
10170,Security and investigation services,Residential Care  & Social Work Activities,0
10171,Services to buildings and landscape,Residential Care  & Social Work Activities,0
10172,"Office administrative, office support and other business support services",Residential Care  & Social Work Activities,241
10173,Public administration and defence services; compulsory social security services,Residential Care  & Social Work Activities,0
10174,Education services,Residential Care  & Social Work Activities,0
10175,Human health services,Residential Care  & Social Work Activities,0
10176,Residential Care  & Social Work Activities,Residential Care  & Social Work Activities,14
10177,"Creative, arts and entertainment services",Residential Care  & Social Work Activities,0
10178,"Libraries, archives, museums and other cultural services",Residential Care  & Social Work Activities,0
10179,Gambling and betting services,Residential Care  & Social Work Activities,0
10180,Sports services and amusement and recreation services,Residential Care  & Social Work Activities,0
10181,Services furnished by membership organisations,Residential Care  & Social Work Activities,0
10182,Repair services of computers and personal and household goods,Residential Care  & Social Work Activities,0
10183,Other personal services,Residential Care  & Social Work Activities,0
10184,Services of households as employers of domestic personnel,Residential Care  & Social Work Activities,0
10185,"Products of agriculture, hunting and related services","Creative, Arts And Entertainment Activities",0
10186,"Products of forestry, logging and related services","Creative, Arts And Entertainment Activities",0
10187,Fish and other fishing products; aquaculture products; support services to fishing,"Creative, Arts And Entertainment Activities",0
10188,Coal and lignite,"Creative, Arts And Entertainment Activities",0
10189,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,"Creative, Arts And Entertainment Activities",0
10190,Other mining and quarrying products,"Creative, Arts And Entertainment Activities",0
10191,Mining support services,"Creative, Arts And Entertainment Activities",0
10192,Preserved meat and meat products,"Creative, Arts And Entertainment Activities",0
10193,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","Creative, Arts And Entertainment Activities",0
10194,Vegetable and animal oils and fats,"Creative, Arts And Entertainment Activities",0
10195,Dairy products,"Creative, Arts And Entertainment Activities",0
10196,"Grain mill products, starches and starch products","Creative, Arts And Entertainment Activities",0
10197,Bakery and farinaceous products,"Creative, Arts And Entertainment Activities",0
10198,Other food products,"Creative, Arts And Entertainment Activities",0
10199,Prepared animal feeds,"Creative, Arts And Entertainment Activities",0
10200,Alcoholic beverages  & Tobacco products,"Creative, Arts And Entertainment Activities",6
10201,Soft drinks,"Creative, Arts And Entertainment Activities",0
10202,Textiles,"Creative, Arts And Entertainment Activities",0
10203,Wearing apparel,"Creative, Arts And Entertainment Activities",0
10204,Leather and related products,"Creative, Arts And Entertainment Activities",0
10205,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","Creative, Arts And Entertainment Activities",1
10206,Paper and paper products,"Creative, Arts And Entertainment Activities",18
10207,Printing and recording services,"Creative, Arts And Entertainment Activities",0
10208,Coke and refined petroleum products,"Creative, Arts And Entertainment Activities",0
10209,"Paints, varnishes and similar coatings, printing ink and mastics","Creative, Arts And Entertainment Activities",0
10210,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Creative, Arts And Entertainment Activities",0
10211,Other chemical products,"Creative, Arts And Entertainment Activities",0
10212,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","Creative, Arts And Entertainment Activities",0
10213,Petrochemicals - 20.14/16/17/60,"Creative, Arts And Entertainment Activities",0
10214,"Dyestuffs, agro-chemicals - 20.12/20","Creative, Arts And Entertainment Activities",0
10215,Basic pharmaceutical products and pharmaceutical preparations,"Creative, Arts And Entertainment Activities",0
10216,Rubber and plastic products,"Creative, Arts And Entertainment Activities",5
10217,"Cement, lime, plaster and articles of concrete, cement and plaster","Creative, Arts And Entertainment Activities",0
10218,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","Creative, Arts And Entertainment Activities",3
10219,Basic iron and steel,"Creative, Arts And Entertainment Activities",0
10220,Other basic metals and casting,"Creative, Arts And Entertainment Activities",0
10221,Weapons and ammunition,"Creative, Arts And Entertainment Activities",0
10222,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","Creative, Arts And Entertainment Activities",0
10223,"Computer, electronic and optical products","Creative, Arts And Entertainment Activities",0
10224,Electrical equipment,"Creative, Arts And Entertainment Activities",0
10225,Machinery and equipment n.e.c.,"Creative, Arts And Entertainment Activities",0
10226,"Motor vehicles, trailers and semi-trailers","Creative, Arts And Entertainment Activities",0
10227,Ships and boats,"Creative, Arts And Entertainment Activities",0
10228,Air and spacecraft and related machinery,"Creative, Arts And Entertainment Activities",1
10229,Other transport equipment - 30.2/4/9,"Creative, Arts And Entertainment Activities",0
10230,Furniture,"Creative, Arts And Entertainment Activities",0
10231,Other manufactured goods,"Creative, Arts And Entertainment Activities",1
10232,Repair and maintenance of ships and boats,"Creative, Arts And Entertainment Activities",0
10233,Repair and maintenance of aircraft and spacecraft,"Creative, Arts And Entertainment Activities",0
10234,Rest of repair; Installation - 33.11-14/17/19/20,"Creative, Arts And Entertainment Activities",0
10235,"Electricity, transmission and distribution","Creative, Arts And Entertainment Activities",0
10236,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,"Creative, Arts And Entertainment Activities",0
10237,Natural water; water treatment and supply services,"Creative, Arts And Entertainment Activities",0
10238,Sewerage services; sewage sludge,"Creative, Arts And Entertainment Activities",0
10239,"Waste collection, treatment and disposal services; materials recovery services","Creative, Arts And Entertainment Activities",0
10240,Remediation services and other waste management services,"Creative, Arts And Entertainment Activities",0
10241,Construction,"Creative, Arts And Entertainment Activities",0
10242,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Creative, Arts And Entertainment Activities",0
10243,"Wholesale trade services, except of motor vehicles and motorcycles","Creative, Arts And Entertainment Activities",0
10244,"Retail trade services, except of motor vehicles and motorcycles","Creative, Arts And Entertainment Activities",0
10245,Rail transport services,"Creative, Arts And Entertainment Activities",0
10246,"Land transport services and transport services via pipelines, excluding rail transport","Creative, Arts And Entertainment Activities",0
10247,Water transport services,"Creative, Arts And Entertainment Activities",0
10248,Air transport services,"Creative, Arts And Entertainment Activities",0
10249,Warehousing and support services for transportation,"Creative, Arts And Entertainment Activities",0
10250,Postal and courier services,"Creative, Arts And Entertainment Activities",0
10251,Accommodation services,"Creative, Arts And Entertainment Activities",0
10252,Food and beverage serving services,"Creative, Arts And Entertainment Activities",0
10253,Publishing services,"Creative, Arts And Entertainment Activities",0
10254,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities","Creative, Arts And Entertainment Activities",28
10255,Telecommunications services,"Creative, Arts And Entertainment Activities",0
10256,"Computer programming, consultancy and related services","Creative, Arts And Entertainment Activities",0
10257,Information services,"Creative, Arts And Entertainment Activities",0
10258,"Financial services, except insurance and pension funding","Creative, Arts And Entertainment Activities",0
10259,"Insurance, reinsurance and pension funding services, except compulsory social security","Creative, Arts And Entertainment Activities",0
10260,Services auxiliary to financial services and insurance services,"Creative, Arts And Entertainment Activities",2
10261,Real estate services on a fee or contract basis,"Creative, Arts And Entertainment Activities",0
10262,Owner-Occupiers' Housing Services,"Creative, Arts And Entertainment Activities",0
10263,"Real estate services, excluding on a fee or contract basis and imputed rent","Creative, Arts And Entertainment Activities",0
10264,Legal services,"Creative, Arts And Entertainment Activities",0
10265,"Accounting, bookkeeping and auditing services; tax consulting services","Creative, Arts And Entertainment Activities",0
10266,Services of head offices; management consulting services,"Creative, Arts And Entertainment Activities",16
10267,Architectural and engineering services; technical testing and analysis services,"Creative, Arts And Entertainment Activities",0
10268,Scientific research and development services,"Creative, Arts And Entertainment Activities",0
10269,Advertising and market research services,"Creative, Arts And Entertainment Activities",0
10270,"Other professional, scientific and technical services","Creative, Arts And Entertainment Activities",0
10271,Veterinary services,"Creative, Arts And Entertainment Activities",0
10272,Rental and leasing services,"Creative, Arts And Entertainment Activities",0
10273,Employment services,"Creative, Arts And Entertainment Activities",0
10274,"Travel agency, tour operator and other reservation services and related services","Creative, Arts And Entertainment Activities",0
10275,Security and investigation services,"Creative, Arts And Entertainment Activities",0
10276,Services to buildings and landscape,"Creative, Arts And Entertainment Activities",0
10277,"Office administrative, office support and other business support services","Creative, Arts And Entertainment Activities",137
10278,Public administration and defence services; compulsory social security services,"Creative, Arts And Entertainment Activities",0
10279,Education services,"Creative, Arts And Entertainment Activities",0
10280,Human health services,"Creative, Arts And Entertainment Activities",0
10281,Residential Care  & Social Work Activities,"Creative, Arts And Entertainment Activities",0
10282,"Creative, arts and entertainment services","Creative, Arts And Entertainment Activities",149
10283,"Libraries, archives, museums and other cultural services","Creative, Arts And Entertainment Activities",0
10284,Gambling and betting services,"Creative, Arts And Entertainment Activities",0
10285,Sports services and amusement and recreation services,"Creative, Arts And Entertainment Activities",0
10286,Services furnished by membership organisations,"Creative, Arts And Entertainment Activities",1
10287,Repair services of computers and personal and household goods,"Creative, Arts And Entertainment Activities",0
10288,Other personal services,"Creative, Arts And Entertainment Activities",0
10289,Services of households as employers of domestic personnel,"Creative, Arts And Entertainment Activities",0
10290,"Products of agriculture, hunting and related services","Libraries, Archives, Museums And Other Cultural Activities",0
10291,"Products of forestry, logging and related services","Libraries, Archives, Museums And Other Cultural Activities",0
10292,Fish and other fishing products; aquaculture products; support services to fishing,"Libraries, Archives, Museums And Other Cultural Activities",0
10293,Coal and lignite,"Libraries, Archives, Museums And Other Cultural Activities",0
10294,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,"Libraries, Archives, Museums And Other Cultural Activities",0
10295,Other mining and quarrying products,"Libraries, Archives, Museums And Other Cultural Activities",0
10296,Mining support services,"Libraries, Archives, Museums And Other Cultural Activities",0
10297,Preserved meat and meat products,"Libraries, Archives, Museums And Other Cultural Activities",0
10298,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables","Libraries, Archives, Museums And Other Cultural Activities",0
10299,Vegetable and animal oils and fats,"Libraries, Archives, Museums And Other Cultural Activities",0
10300,Dairy products,"Libraries, Archives, Museums And Other Cultural Activities",0
10301,"Grain mill products, starches and starch products","Libraries, Archives, Museums And Other Cultural Activities",0
10302,Bakery and farinaceous products,"Libraries, Archives, Museums And Other Cultural Activities",0
10303,Other food products,"Libraries, Archives, Museums And Other Cultural Activities",0
10304,Prepared animal feeds,"Libraries, Archives, Museums And Other Cultural Activities",0
10305,Alcoholic beverages  & Tobacco products,"Libraries, Archives, Museums And Other Cultural Activities",2
10306,Soft drinks,"Libraries, Archives, Museums And Other Cultural Activities",0
10307,Textiles,"Libraries, Archives, Museums And Other Cultural Activities",0
10308,Wearing apparel,"Libraries, Archives, Museums And Other Cultural Activities",1
10309,Leather and related products,"Libraries, Archives, Museums And Other Cultural Activities",0
10310,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials","Libraries, Archives, Museums And Other Cultural Activities",0
10311,Paper and paper products,"Libraries, Archives, Museums And Other Cultural Activities",1
10312,Printing and recording services,"Libraries, Archives, Museums And Other Cultural Activities",0
10313,Coke and refined petroleum products,"Libraries, Archives, Museums And Other Cultural Activities",4
10314,"Paints, varnishes and similar coatings, printing ink and mastics","Libraries, Archives, Museums And Other Cultural Activities",0
10315,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations","Libraries, Archives, Museums And Other Cultural Activities",0
10316,Other chemical products,"Libraries, Archives, Museums And Other Cultural Activities",0
10317,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15","Libraries, Archives, Museums And Other Cultural Activities",0
10318,Petrochemicals - 20.14/16/17/60,"Libraries, Archives, Museums And Other Cultural Activities",0
10319,"Dyestuffs, agro-chemicals - 20.12/20","Libraries, Archives, Museums And Other Cultural Activities",0
10320,Basic pharmaceutical products and pharmaceutical preparations,"Libraries, Archives, Museums And Other Cultural Activities",0
10321,Rubber and plastic products,"Libraries, Archives, Museums And Other Cultural Activities",1
10322,"Cement, lime, plaster and articles of concrete, cement and plaster","Libraries, Archives, Museums And Other Cultural Activities",0
10323,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9","Libraries, Archives, Museums And Other Cultural Activities",2
10324,Basic iron and steel,"Libraries, Archives, Museums And Other Cultural Activities",0
10325,Other basic metals and casting,"Libraries, Archives, Museums And Other Cultural Activities",0
10326,Weapons and ammunition,"Libraries, Archives, Museums And Other Cultural Activities",0
10327,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9","Libraries, Archives, Museums And Other Cultural Activities",1
10328,"Computer, electronic and optical products","Libraries, Archives, Museums And Other Cultural Activities",37
10329,Electrical equipment,"Libraries, Archives, Museums And Other Cultural Activities",1
10330,Machinery and equipment n.e.c.,"Libraries, Archives, Museums And Other Cultural Activities",0
10331,"Motor vehicles, trailers and semi-trailers","Libraries, Archives, Museums And Other Cultural Activities",0
10332,Ships and boats,"Libraries, Archives, Museums And Other Cultural Activities",0
10333,Air and spacecraft and related machinery,"Libraries, Archives, Museums And Other Cultural Activities",1
10334,Other transport equipment - 30.2/4/9,"Libraries, Archives, Museums And Other Cultural Activities",0
10335,Furniture,"Libraries, Archives, Museums And Other Cultural Activities",0
10336,Other manufactured goods,"Libraries, Archives, Museums And Other Cultural Activities",0
10337,Repair and maintenance of ships and boats,"Libraries, Archives, Museums And Other Cultural Activities",0
10338,Repair and maintenance of aircraft and spacecraft,"Libraries, Archives, Museums And Other Cultural Activities",0
10339,Rest of repair; Installation - 33.11-14/17/19/20,"Libraries, Archives, Museums And Other Cultural Activities",0
10340,"Electricity, transmission and distribution","Libraries, Archives, Museums And Other Cultural Activities",0
10341,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,"Libraries, Archives, Museums And Other Cultural Activities",0
10342,Natural water; water treatment and supply services,"Libraries, Archives, Museums And Other Cultural Activities",0
10343,Sewerage services; sewage sludge,"Libraries, Archives, Museums And Other Cultural Activities",0
10344,"Waste collection, treatment and disposal services; materials recovery services","Libraries, Archives, Museums And Other Cultural Activities",0
10345,Remediation services and other waste management services,"Libraries, Archives, Museums And Other Cultural Activities",0
10346,Construction,"Libraries, Archives, Museums And Other Cultural Activities",0
10347,Wholesale and retail trade and repair services of motor vehicles and motorcycles,"Libraries, Archives, Museums And Other Cultural Activities",0
10348,"Wholesale trade services, except of motor vehicles and motorcycles","Libraries, Archives, Museums And Other Cultural Activities",0
10349,"Retail trade services, except of motor vehicles and motorcycles","Libraries, Archives, Museums And Other Cultural Activities",0
10350,Rail transport services,"Libraries, Archives, Museums And Other Cultural Activities",0
10351,"Land transport services and transport services via pipelines, excluding rail transport","Libraries, Archives, Museums And Other Cultural Activities",0
10352,Water transport services,"Libraries, Archives, Museums And Other Cultural Activities",0
10353,Air transport services,"Libraries, Archives, Museums And Other Cultural Activities",0
10354,Warehousing and support services for transportation,"Libraries, Archives, Museums And Other Cultural Activities",0
10355,Postal and courier services,"Libraries, Archives, Museums And Other Cultural Activities",0
10356,Accommodation services,"Libraries, Archives, Museums And Other Cultural Activities",0
10357,Food and beverage serving services,"Libraries, Archives, Museums And Other Cultural Activities",0
10358,Publishing services,"Libraries, Archives, Museums And Other Cultural Activities",0
10359,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities","Libraries, Archives, Museums And Other Cultural Activities",38
10360,Telecommunications services,"Libraries, Archives, Museums And Other Cultural Activities",0
10361,"Computer programming, consultancy and related services","Libraries, Archives, Museums And Other Cultural Activities",0
10362,Information services,"Libraries, Archives, Museums And Other Cultural Activities",0
10363,"Financial services, except insurance and pension funding","Libraries, Archives, Museums And Other Cultural Activities",3
10364,"Insurance, reinsurance and pension funding services, except compulsory social security","Libraries, Archives, Museums And Other Cultural Activities",0
10365,Services auxiliary to financial services and insurance services,"Libraries, Archives, Museums And Other Cultural Activities",0
10366,Real estate services on a fee or contract basis,"Libraries, Archives, Museums And Other Cultural Activities",0
10367,Owner-Occupiers' Housing Services,"Libraries, Archives, Museums And Other Cultural Activities",0
10368,"Real estate services, excluding on a fee or contract basis and imputed rent","Libraries, Archives, Museums And Other Cultural Activities",0
10369,Legal services,"Libraries, Archives, Museums And Other Cultural Activities",0
10370,"Accounting, bookkeeping and auditing services; tax consulting services","Libraries, Archives, Museums And Other Cultural Activities",0
10371,Services of head offices; management consulting services,"Libraries, Archives, Museums And Other Cultural Activities",25
10372,Architectural and engineering services; technical testing and analysis services,"Libraries, Archives, Museums And Other Cultural Activities",0
10373,Scientific research and development services,"Libraries, Archives, Museums And Other Cultural Activities",0
10374,Advertising and market research services,"Libraries, Archives, Museums And Other Cultural Activities",0
10375,"Other professional, scientific and technical services","Libraries, Archives, Museums And Other Cultural Activities",0
10376,Veterinary services,"Libraries, Archives, Museums And Other Cultural Activities",0
10377,Rental and leasing services,"Libraries, Archives, Museums And Other Cultural Activities",1
10378,Employment services,"Libraries, Archives, Museums And Other Cultural Activities",0
10379,"Travel agency, tour operator and other reservation services and related services","Libraries, Archives, Museums And Other Cultural Activities",0
10380,Security and investigation services,"Libraries, Archives, Museums And Other Cultural Activities",0
10381,Services to buildings and landscape,"Libraries, Archives, Museums And Other Cultural Activities",0
10382,"Office administrative, office support and other business support services","Libraries, Archives, Museums And Other Cultural Activities",32
10383,Public administration and defence services; compulsory social security services,"Libraries, Archives, Museums And Other Cultural Activities",0
10384,Education services,"Libraries, Archives, Museums And Other Cultural Activities",0
10385,Human health services,"Libraries, Archives, Museums And Other Cultural Activities",0
10386,Residential Care  & Social Work Activities,"Libraries, Archives, Museums And Other Cultural Activities",0
10387,"Creative, arts and entertainment services","Libraries, Archives, Museums And Other Cultural Activities",5
10388,"Libraries, archives, museums and other cultural services","Libraries, Archives, Museums And Other Cultural Activities",1
10389,Gambling and betting services,"Libraries, Archives, Museums And Other Cultural Activities",0
10390,Sports services and amusement and recreation services,"Libraries, Archives, Museums And Other Cultural Activities",0
10391,Services furnished by membership organisations,"Libraries, Archives, Museums And Other Cultural Activities",0
10392,Repair services of computers and personal and household goods,"Libraries, Archives, Museums And Other Cultural Activities",0
10393,Other personal services,"Libraries, Archives, Museums And Other Cultural Activities",0
10394,Services of households as employers of domestic personnel,"Libraries, Archives, Museums And Other Cultural Activities",0
10395,"Products of agriculture, hunting and related services",Gambling And Betting Activities,0
10396,"Products of forestry, logging and related services",Gambling And Betting Activities,0
10397,Fish and other fishing products; aquaculture products; support services to fishing,Gambling And Betting Activities,0
10398,Coal and lignite,Gambling And Betting Activities,0
10399,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Gambling And Betting Activities,0
10400,Other mining and quarrying products,Gambling And Betting Activities,0
10401,Mining support services,Gambling And Betting Activities,0
10402,Preserved meat and meat products,Gambling And Betting Activities,0
10403,"Processed and preserved fish, crustaceans, molluscs, fruit and vegetables",Gambling And Betting Activities,0
10404,Vegetable and animal oils and fats,Gambling And Betting Activities,0
10405,Dairy products,Gambling And Betting Activities,0
10406,"Grain mill products, starches and starch products",Gambling And Betting Activities,0
10407,Bakery and farinaceous products,Gambling And Betting Activities,0
10408,Other food products,Gambling And Betting Activities,0
10409,Prepared animal feeds,Gambling And Betting Activities,0
10410,Alcoholic beverages  & Tobacco products,Gambling And Betting Activities,3
10411,Soft drinks,Gambling And Betting Activities,0
10412,Textiles,Gambling And Betting Activities,0
10413,Wearing apparel,Gambling And Betting Activities,1
10414,Leather and related products,Gambling And Betting Activities,0
10415,"Wood and of products of wood and cork, except furniture; articles of straw and plaiting materials",Gambling And Betting Activities,0
10416,Paper and paper products,Gambling And Betting Activities,0
10417,Printing and recording services,Gambling And Betting Activities,0
10418,Coke and refined petroleum products,Gambling And Betting Activities,1
10419,"Paints, varnishes and similar coatings, printing ink and mastics",Gambling And Betting Activities,0
10420,"Soap and detergents, cleaning and polishing preparations, perfumes and toilet preparations",Gambling And Betting Activities,0
10421,Other chemical products,Gambling And Betting Activities,0
10422,"Industrial gases, inorganics and fertilisers (all inorganic chemicals) - 20.11/13/15",Gambling And Betting Activities,0
10423,Petrochemicals - 20.14/16/17/60,Gambling And Betting Activities,0
10424,"Dyestuffs, agro-chemicals - 20.12/20",Gambling And Betting Activities,0
10425,Basic pharmaceutical products and pharmaceutical preparations,Gambling And Betting Activities,0
10426,Rubber and plastic products,Gambling And Betting Activities,0
10427,"Cement, lime, plaster and articles of concrete, cement and plaster",Gambling And Betting Activities,0
10428,"Glass, refractory, clay, other porcelain and ceramic, stone and abrasive products - 23.1-4/7-9",Gambling And Betting Activities,0
10429,Basic iron and steel,Gambling And Betting Activities,0
10430,Other basic metals and casting,Gambling And Betting Activities,0
10431,Weapons and ammunition,Gambling And Betting Activities,0
10432,"Fabricated metal products, excl. machinery and equipment and weapons & ammunition - 25.1-3/25.5-9",Gambling And Betting Activities,0
10433,"Computer, electronic and optical products",Gambling And Betting Activities,8
10434,Electrical equipment,Gambling And Betting Activities,0
10435,Machinery and equipment n.e.c.,Gambling And Betting Activities,0
10436,"Motor vehicles, trailers and semi-trailers",Gambling And Betting Activities,1
10437,Ships and boats,Gambling And Betting Activities,0
10438,Air and spacecraft and related machinery,Gambling And Betting Activities,0
10439,Other transport equipment - 30.2/4/9,Gambling And Betting Activities,0
10440,Furniture,Gambling And Betting Activities,0
10441,Other manufactured goods,Gambling And Betting Activities,0
10442,Repair and maintenance of ships and boats,Gambling And Betting Activities,0
10443,Repair and maintenance of aircraft and spacecraft,Gambling And Betting Activities,0
10444,Rest of repair; Installation - 33.11-14/17/19/20,Gambling And Betting Activities,0
10445,"Electricity, transmission and distribution",Gambling And Betting Activities,0
10446,Gas; distribution of gaseous fuels through mains; steam and air conditioning supply,Gambling And Betting Activities,0
10447,Natural water; water treatment and supply services,Gambling And Betting Activities,0
10448,Sewerage services; sewage sludge,Gambling And Betting Activities,0
10449,"Waste collection, treatment and disposal services; materials recovery services",Gambling And Betting Activities,0
10450,Remediation services and other waste management services,Gambling And Betting Activities,0
10451,Construction,Gambling And Betting Activities,0
10452,Wholesale and retail trade and repair services of motor vehicles and motorcycles,Gambling And Betting Activities,0
10453,"Wholesale trade services, except of motor vehicles and motorcycles",Gambling And Betting Activities,0
10454,"Retail trade services, except of motor vehicles and motorcycles",Gambling And Betting Activities,0
10455,Rail transport services,Gambling And Betting Activities,0
10456,"Land transport services and transport services via pipelines, excluding rail transport",Gambling And Betting Activities,0
10457,Water transport services,Gambling And Betting Activities,0
10458,Air transport services,Gambling And Betting Activities,0
10459,Warehousing and support services for transportation,Gambling And Betting Activities,0
10460,Postal and courier services,Gambling And Betting Activities,0
10461,Accommodation services,Gambling And Betting Activities,0
10462,Food and beverage serving services,Gambling And Betting Activities,0
10463,Publishing services,Gambling And Betting Activities,0
10464,"Motion Picture, Video & TV Programme Production, Sound Recording & Music Publishing Activities & Programming And Broadcasting Activities",Gambling And Betting Activities,68
10465,Telecommunications services,Gambling And Betting Activities,0
10466,"Computer programming, consultancy and related services",Gambling And Betting Activities,0
10467,Information services,Gambling And Betting Activities,0
10468,"Financial services, except insurance and pension funding",Gambling And Betting Activities,2
10469,"Insurance, reinsurance and pension funding services, except compulsory social security",Gambling And Betting Activities,0
10470,Services auxiliary to financial services and insurance services,Gambling And Betting Activities,3
10471,Real estate services on a fee or contract basis,Gambling And Betting Activities,0
10472,Owner-Occupiers' Housing Services,Gambling And Betting Activities,0
10473,"Real estate services, excluding on a fee or contract basis and imputed rent",Gambling And Betting Activities,0
10474,Legal services,Gambling And Betting Activities,0
10475,"Accounting, bookkeeping and auditing services; tax consulting services",Gambling And Betting Activities,0
10476,Services of head offices; management consulting services,Gambling And Betting Activities,207
10477,Architectural and engineering services; technical testing and analysis services,Gambling And Betting Activities,0
10478,Scientific research and development services,Gambling And Betting Activities,0
10479,Advertising and market research services,Gambling And Betting Activities,0
10480,"Other professional, scientific and technical services",Gambling And Betting Activities,0
10481,Veterinary services,Gambling And Betting Activities,0
10482,Rental and leasing services,Gambling And Betting Activities,2
10483,Employment services,Gambling And Betting Activities,0
10484,"Travel agency, tour operator and other reservation services and related services",Gambling And Betting Activities,0
10485,Security and investigation services,Gambling And Betting Activities,0
10486,Services to buildings and landscape,Gambling And Betting Activities,0
10487,"Office administrative, office support and other business support services",Gambling And Betting Activities,56
10488,Public administration and defence services; compulsory social security services,Gambling And Betting Activities,0
10489,Education services,Gambling And Betting Activities,0
10490,Human health services,Gambling And Betting Activities,0
10491,Residential Care  & Social Work Activities,Gambling And Betting Activities,0
10492,"Creative, arts and entertainment services",Gambling And Betting Activities,0
10493,"Libraries, archives, museums and other cultural services",Gambling And Betting Activities,0
10494,Gambling and betting services,Gambling And Betting Activities,0
10495,Sports services and amusement and recreation services,Gambling And Betting Activities,0
10496,Services furnished by membership organisations,Gambling And Betting Activities,9
10497,Repair services of computers and personal and household goods,Gambling And Betting Activities,0
10498,Other personal services,Gambling And Betting Activities,0
10499,Services of households as employers of domestic personnel,Gambling And Betting Activities,0
10500,"Products of agriculture, hunting and related services",Sports Activities And Amusement And Recreation Activities,0
10501,"Products of forestry, logging and related services",Sports Activities And Amusement And Recreation Activities,0
10502,Fish and other fishing products; aquaculture products; support services to fishing,Sports Activities And Amusement And Recreation Activities,3
10503,Coal and lignite,Sports Activities And Amusement And Recreation Activities,0
10504,Extraction Of Crude Petroleum And Natural Gas  & Mining Of Metal Ores,Sports Activities And Amusement And Recreation Activities,0
10505,Other mining and quarrying products,Sports Activities And Amusement And Recreation Activities,0
